State FIPS,State Abbreviation,County FIPS,County Name,CBSA FIPS,CBSA Name,"Total Population, 1980","White, 1980","Black, 1980","Hispanic, 1980","Asian and Pacific Islander, 1980","Other (Including Native Americans and Multirace), 1980","American Indian and Alaskan Natives, 1980","Some other race, 1980","Total Population, 1990","White, 1990","Black, 1990","Hispanic, 1990","Asian and Pacific Islander, 1990","Other (Including Native Americans and Multirace), 1990","American Indian and Alaskan Natives, 1990","Some other race, 1990","Total Population, 2000","White, 2000","Black, 2000","Hispanic, 2000","Asian and Pacific Islander, 2000","Other (Including Native Americans and Multirace), 2000","American Indian and Alaskan Natives, 2000","Some other race, 2000","Two or more races, 2000","Total Population, 2010","White, 2010","Black, 2010","Hispanic, 2010","Asian and Pacific Islander, 2010","Other (Including Native Americans and Multirace), 2010","American Indian and Alaskan Natives, 2010","Some other race, 2010","Two or more races, 2010","Percent White, 1980","Percent Black, 1980","Percent Hispanic, 1980","Percent Asian and Pacific Islander, 1980","Percent Other, 1980","Percent White, 1990","Percent Black, 1990","Percent Hispanic, 1990","Percent Asian and Pacific Islander, 1990","Percent Other, 1990","Percent White, 2000","Percent Black, 2000","Percent Hispanic, 2000","Percent Asian and Pacific Islander, 2000","Percent Other, 2000","Percent White, 2010","Percent Black, 2010","Percent Hispanic, 2010","Percent Asian and Pacific Islander, 2010","Percent Other, 2010","Entropy Score, 1980","Entropy Score, 1990","Entropy Score, 2000","Entropy Score, 2010"
State FIPS,State Name,County_FIPS,County_Name,CBSA10,CBSAName10,TotPop80,White80,Black80,Hispanic80,Asian80,Other80,AIAN80,SomeOth80,TotPop90,White90,Black90,Hispanic90,API90,Other90,AIAN90,SomeOth90,TotPop00,White00,Black00,Hisp00,API00,Other00,AIAN00,SomeOth00,MultiR00,TotPop10,White10,Black10,Hisp10,API10,Other10,AIAN10,SomeOth10,MultiR10,PWhite80,PBlack80,PHisp80,PAPI80,POther80,PWhite90,PBlack90,PHisp90,PAPI90,POther90,PWhite00,PBlack00,PHisp00,PAPI00,POther00,PWhite10,PBlack10,PHisp10,PAPI10,POther10,E80,E90,E00,E10
01,AL,01001,Autauga County,33860,"Montgomery, AL",32259,24603,7118,363,76,99,54,45,34222,26997,6806,230,118,71,71,0,43671,34823,7428,610,206,604,186,44,374,54571,42154,9595,1310,489,1023,217,45,761,76.27,22.07,1.13,0.24,0.31,78.89,19.89,0.67,0.34,0.21,79.74,17.01,1.40,0.47,1.38,77.25,17.58,2.40,0.90,1.87,38.68,35.68,38.89,44.20
01,AL,01003,Baldwin County,19300,"Daphne-Fairhope-Foley, AL",78556,65227,11957,795,91,486,418,68,98280,83800,12592,1022,216,650,621,29,140415,120868,14357,2466,568,2156,753,104,1299,182265,152200,16966,7992,1419,3688,1146,245,2297,83.03,15.22,1.01,0.12,0.62,85.27,12.81,1.04,0.22,0.66,86.08,10.22,1.76,0.40,1.54,83.50,9.31,4.38,0.78,2.02,32.73,30.65,32.28,38.86
01,AL,01005,Barbour County,21640,"Eufaula, AL-GA",24756,13622,10812,268,23,31,28,3,25417,14054,11156,124,43,40,40,0,29038,14788,13369,478,89,314,119,4,191,27457,12837,12820,1387,131,282,60,13,209,55.03,43.67,1.08,0.09,0.13,55.29,43.89,0.49,0.17,0.16,50.93,46.04,1.65,0.31,1.08,46.75,46.69,5.05,0.48,1.03,46.87,45.73,51.88,58.06
01,AL,01007,Bibb County,13820,"Birmingham-Hoover, AL",15723,11963,3568,176,11,5,2,3,16576,13033,3468,39,11,25,25,0,20826,15870,4584,210,19,143,46,0,97,22915,17191,5024,406,29,265,64,20,181,76.09,22.69,1.12,0.07,0.03,78.63,20.92,0.24,0.07,0.15,76.20,22.01,1.01,0.09,0.69,75.02,21.92,1.77,0.13,1.16,37.43,33.88,38.97,42.24
01,AL,01009,Blount County,13820,"Birmingham-Hoover, AL",36459,35576,598,204,17,64,54,10,39248,38275,519,286,33,135,129,6,51024,46999,598,2718,76,633,212,14,407,57322,50952,724,4626,133,887,285,35,567,97.58,1.64,0.56,0.05,0.18,97.52,1.32,0.73,0.08,0.34,92.11,1.17,5.33,0.15,1.24,88.89,1.26,8.07,0.23,1.55,8.39,8.89,21.63,27.44
01,AL,01011,Bullock County,,,10596,3403,7026,160,3,4,1,3,11042,3011,7948,65,10,8,8,0,11714,2764,8486,322,22,120,37,6,77,10914,2392,7637,777,24,84,20,5,59,32.12,66.31,1.51,0.03,0.04,27.27,71.98,0.59,0.09,0.07,23.60,72.44,2.75,0.19,1.02,21.92,69.97,7.12,0.22,0.77,43.85,39.32,45.47,51.05
01,AL,01013,Butler County,,,21680,13204,8165,289,12,10,5,5,21892,13001,8783,65,19,24,24,0,21399,12429,8671,143,34,122,44,4,74,20947,11324,9047,191,181,204,59,3,142,60.90,37.66,1.33,0.06,0.05,59.39,40.12,0.30,0.09,0.11,58.08,40.52,0.67,0.16,0.57,54.06,43.19,0.91,0.86,0.97,45.67,43.91,46.90,51.20
01,AL,01015,Calhoun County,11500,"Anniston-Oxford, AL",119761,96643,20970,1329,455,364,199,165,116034,92154,21476,1282,814,308,291,17,112249,87598,20725,1753,699,1474,427,85,962,118572,87285,24177,3893,924,2293,480,109,1704,80.70,17.51,1.11,0.38,0.30,79.42,18.51,1.10,0.70,0.27,78.04,18.46,1.56,0.62,1.31,73.61,20.39,3.28,0.78,1.93,35.22,37.00,40.94,48.22
01,AL,01017,Chambers County,46740,"Valley, AL",39191,25122,13664,357,21,27,13,14,36876,23510,13187,127,12,40,36,4,36583,22111,13872,280,68,252,49,13,190,34215,19893,13206,536,173,407,57,23,327,64.10,34.87,0.91,0.05,0.07,63.75,35.76,0.34,0.03,0.11,60.44,37.92,0.77,0.19,0.69,58.14,38.60,1.57,0.51,1.19,43.76,42.52,46.93,51.40
