"County","TotPop10","PWhite10","PBlack10","PHisp10","PAPI10","POther10","E10","Calls_Service","Use_Force","Force_Per_100k"
"Adams",18728,38.78,0.25,59.26,0.54,1.16,48.01,3426,8,42.7167876975651
"Benton",175177,74.46,1.16,18.66,2.76,2.95,48.94,6,29,16.5546846903418
"Clallam",71404,84.59,0.78,5.08,1.51,8.04,37.08,17602,10,14.0048176572741
"Clark",425363,81.76,1.89,7.56,4.67,4.12,44.07,81116,61,14.3406925379029
"Cowlitz",102410,85.76,0.56,7.79,1.64,4.25,34.88,23496,15,14.6470071282101
"Douglas",38431,67.84,0.22,28.66,0.83,2.45,47.58,2751,2,5.20413208087221
"Grant",89120,57.3,0.8,38.33,0.94,2.63,53.73,1908,2,2.24416517055655
"Grays Harbor",72797,81.43,1.05,8.62,1.61,7.29,42.48,24309,10,13.7368298144154
"Island",78506,83.06,2.09,5.47,4.77,4.6,42.31,2,1,1.27378799072682
"Jefferson",29872,89.32,0.79,2.84,1.75,5.3,29.01,14,4,13.3904659882164
"King",1931249,64.79,6.02,8.93,15.23,5.03,68.54,236610,159,8.23301397178717
"Kitsap",251133,79.14,2.52,6.25,5.68,6.42,49.1,27384,8,3.18556302835549
"Kittitas",40915,86.07,0.83,7.63,2.08,3.4,34.83,11603,5,12.2204570450935
"Lewis",75455,85.99,0.49,8.65,0.99,3.88,33.52,9899,14,18.5541050957524
"Lincoln",10570,93.58,0.24,2.26,0.44,3.49,18.82,2143,1,9.46073793755913
"Mason",60699,82.95,1,7.98,1.49,6.58,40.06,2297,14,23.064630389298
"Pierce",795225,70.31,6.47,9.16,7.13,6.92,63.19,203755,62,7.79653557169355
"Skagit",116901,76.73,0.55,16.86,1.89,3.98,45.68,17700,8,6.84339740464153
"Snohomish",713335,74.27,2.43,9.01,9.22,5.08,55.86,201069,87,12.1962331863711
"Spokane",471221,86.72,1.64,4.51,2.47,4.67,35.11,105240,3,0.636643952625201
"Thurston",252264,78.89,2.54,7.05,5.82,5.69,49.46,107810,135,53.5153648558653
"Walla Walla",58781,74.18,1.71,19.72,1.52,2.87,48.26,10512,8,13.609839914258
"Whatcom",201140,81.87,0.89,7.83,3.7,5.7,42.91,51911,8,3.97732922342647
"Whitman",44776,82.1,1.61,4.56,7.92,3.81,43.16,4569,4,8.93335715561908
"Yakima",243231,47.7,0.72,45.01,1.03,5.55,59.36,53614,57,23.4345128704811
