"Agency","Agency Type","County","Calls for Service","Uses of Force"
"Aberdeen Police Department","Local","Grays Harbor",9327,2
"Adams County Sheriff's Office","County","Adams",1049,6
"Arlington Police Department","Local","Snohomish",8956,1
"Bellevue Police Department","Local","King",21691,3
"Bellingham Police Department","Local","Whatcom",25001,2
"Bonney Lake Police Department","Local","Pierce",6420,1
"Bothell Police Department","Local","King",8807,1
"Bremerton Police Department","Local","Kitsap",19995,6
"Burlington Police Department","Local","Skagit",3752,1
"Camas Police Department","Local","Clark",5301,1
"Centralia Police Department","Local","Lewis",1160,2
"Chehalis Police Department","Local","Lewis",510,4
"Clallam County Sheriff's Office","County","Clallam",8966,5
"Clark County Sheriff's Office","County","Clark",28844,34
"College Place Police Department","Local","Walla Walla",2732,2
"Cowlitz County Sheriff's Office","County","Cowlitz",11633,5
"DuPont Police Department","Local","Pierce",5083,2
"East Wenatchee Police Department","Local","Douglas",2751,2
"Edmonds Police Department","Local","Snohomish",8874,4
"Ellensburg Police Department","Local","Kittitas",9462,2
"Enumclaw Police Department","Local","King",2260,1
"Ephrata Police Department","Local","Grant",1908,2
"Everett Police Department","Local","Snohomish",37332,8
"Fife Police Department","Local","Pierce",6819,4
"Grays Harbor County Sheriff's Office","County","Grays Harbor",7678,2
"Hoquiam Police Department","Local","Grays Harbor",3410,1
"Jefferson County Sheriff's Office","County","Jefferson",13,4
"Kennewick Police Department","Local","Benton",3,29
"Kent Police Department","Local","King",13089,34
"King County Sheriff's Office","County","King",120677,42
"Kirkland Police Department","Local","King",11945,4
"Lacey Police Department","Local","Thurston",19900,3
"Lake Stevens Police Department","Local","Snohomish",10684,1
"Langley Police Department","Local","Island",2,1
"Lewis County Sheriff's Office","County","Lewis",8150,4
"Lincoln County Sheriff's Office","County","Lincoln",2143,1
"Longview Police Department","Local","Cowlitz",11863,10
"Lynden Police Department","Local","Whatcom",2627,2
"Lynnwood Police Department","Local","Snohomish",19575,5
"Marysville Police Department","Local","Snohomish",27747,5
"Mason County Sheriff's Office","County","Mason",1564,8
"Mercer Island Police Department","Local","King",1692,5
"Mill Creek Police Department","Local","Snohomish",5054,9
"Monroe Police Department","Local","Snohomish",9367,3
"Mount Vernon Police Department","Local","Skagit",6446,3
"Mountlake Terrace Police Department","Local","Snohomish",9028,2
"Moxee Police Department","Local","Yakima",649,2
"Mukilteo Police Department","Local","Snohomish",7654,1
"Olympia Police Department","Local","Thurston",33962,5
"Orting Police Department","Local","Pierce",2515,5
"Othello Police Department","Local","Adams",1720,1
"Pierce County Sheriff's Office","County","Pierce",77603,3
"Port Angeles Police Department","Local","Clallam",8636,5
"Port Orchard Police Department","Local","Kitsap",7389,2
"Port of Seattle Police Department","Local","King",12110,1
"Pullman Police Department","Local","Whitman",3568,2
"Puyallup Police Department","Local","Pierce",23893,10
"Redmond Police Department","Local","King",15467,1
"Renton Police Department","Local","King",18551,61
"Ritzville Police Department","Local","Adams",365,1
"Sedro-Woolley Police Department","Local","Skagit",2090,2
"Selah Police Department","Local","Yakima",2127,1
"Shelton Police Department","Local","Mason",733,6
"Skagit County Sheriff's Office","County","Skagit",5412,2
"Snohomish County Sheriff's Office","County","Snohomish",56798,47
"Spokane Police Department","Local","Spokane",105240,3
"Sunnyside Police Department","Local","Yakima",6522,1
"Tacoma Police Department","Local","Pierce",81420,30
"Thurston County Sheriff's Office","County","Thurston",35401,30
"Toppenish Police Department","Local","Yakima",2541,9
"Tukwila Police Department","Local","King",6010,4
"Tumwater Police Department","Local","Thurston",11081,1
"Union Gap Police Department","Local","Yakima",2512,3
"Vancouver Police Department","Local","Clark",46970,22
"Walla Walla County Sheriff's Office","County","Walla Walla",1,1
"Walla Walla Police Department","Local","Walla Walla",7779,5
"Wapato Police Department","Local","Yakima",1150,2
"Washington State Patrol","State","Thurston",84,93
"Westport Police Department","Local","Grays Harbor",1088,4
"Whatcom County Sheriff's Office","County","Whatcom",13701,4
"Whitman County Sheriff's Office","County","Whitman",1001,2
"Winlock Police Department","Local","Lewis",72,1
"Yakima County Sheriff's Office","County","Yakima",8329,30
"Yakima Police Department","Local","Yakima",28767,6
"Yelm Police Department","Local","Thurston",7373,1
"Zillah Police Department","Local","Yakima",1017,1
